"id","category","text","options__001","options__002","options__003","options__004","answer","difficulty"
"30","Math","What is the solution to the differential equation dy/dx = 3x²?","x³ + C","x² + C","3x³ + C","3x² + C","x³ + C","Hard"
"31","Business","What is the most important factor when conducting market research?","Customer feedback","Competitor analysis","Supply chain capabilities","Employee satisfaction","Customer feedback","Medium"
"32","Verbal","What is the meaning of the word 'Ephemeral'?","Long-lasting","Temporary","Complicated","Joyful","Temporary","Medium"
"33","Logic","If A is greater than B, and B is greater than C, which of the following must be true?","A > C","C > A","A = C","B = C","A > C","Medium"
"34","Math","What is the value of the determinant of the matrix [[1, 2], [3, 4]]?","2","4","-2","-4","-2","Medium"
"35","Technology","What does the acronym 'HTTP' stand for?","HyperText Transmission Protocol","HyperText Transfer Protocol","Hyper Transfer Text Protocol","HyperText Type Protocol","HyperText Transfer Protocol","Easy"
"36","Business","Which of the following is an example of a vertical integration strategy?","A company buys a competitor","A company expands into new geographical markets","A company purchases its supplier","A company outsources its customer service","A company purchases its supplier","Hard"
"37","Soft Skills","Which of these is a key component of emotional intelligence?","Problem-solving skills","Self-awareness","Technical skills","Time management","Self-awareness","Medium"
"38","General Knowledge","Who is known as the 'Father of Computers'?","Charles Babbage","Alan Turing","John von Neumann","Ada Lovelace","Charles Babbage","Medium"
"39","Technology","What is the main difference between RAM and hard drive storage?","RAM is permanent storage, while hard drive is temporary","RAM is faster and volatile, while hard drive is slower and non-volatile","Hard drive is faster and volatile, while RAM is slower and non-volatile","Both are used for long-term data storage","RAM is faster and volatile, while hard drive is slower and non-volatile","Medium"
"40","Math","What is the sum of the series 1 + 2 + 3 + ... + 100?","5000","5050","5100","5150","5050","Easy"
"41","Business","What is the purpose of a balance sheet?","To assess a company's profitability","To calculate the market value of a company","To show a company's financial position at a given point in time","To measure the company's sales performance","To show a company's financial position at a given point in time","Easy"
"42","General Knowledge","Which country is known as the 'Land of the Rising Sun'?","China","Japan","South Korea","Thailand","Japan","Easy"
"43","Math","What is the derivative of sin(x)?","cos(x)","-cos(x)","sin(x)","-sin(x)","cos(x)","Medium"
"44","Soft Skills","What is the primary benefit of good time management?","Increased stress","Increased productivity","Lower quality of work","Increased distractions","Increased productivity","Easy"
"45","Technology","Which of the following is a popular version control system?","Git","Java","SQL","Photoshop","Git","Medium"
"46","Quantum Computing","What is the basic unit of quantum information?","Qubit","Byte","Bit","Quantum Bit","Qubit","Hard"
"47","Cybersecurity","Which of the following is a form of social engineering attack?","Phishing","Firewall","Encryption","SSL/TLS","Phishing","Medium"
"48","Data Science","What is the purpose of a confusion matrix in machine learning?","To evaluate the performance of a model","To visualize data distributions","To optimize hyperparameters","To tune the learning rate","To evaluate the performance of a model","Medium"
"49","Financial Analysis","What does the P/E ratio (Price-to-Earnings) indicate?","Company profitability","Company market value relative to earnings","Company debt levels","Company revenue growth","Company market value relative to earnings","Hard"
"50","Artificial Intelligence","What is the 'Turing Test' used to evaluate?","The complexity of an algorithm","The intelligence of a machine","The performance of a neural network","The efficiency of data processing","The intelligence of a machine","Hard"
"51","Blockchain","Which consensus algorithm is used by Bitcoin to validate transactions?","Proof of Stake","Proof of Work","Delegated Proof of Stake","Practical Byzantine Fault Tolerance","Proof of Work","Hard"
"52","Machine Learning","Which of these is an example of supervised learning?","K-means clustering","Decision trees","Principal Component Analysis","Generative Adversarial Networks","Decision trees","Medium"
"53","Data Science","Which of the following is used to assess the significance of independent variables in a regression model?","R-squared","F-test","Cross-validation","p-value","p-value","Medium"
"54","Cybersecurity","What is the main purpose of a VPN (Virtual Private Network)?","Encrypt internet traffic","Speed up internet connection","Monitor network traffic","Enable remote access to servers","Encrypt internet traffic","Medium"
"55","Financial Analysis","What does the 'Beta' coefficient represent in the Capital Asset Pricing Model (CAPM)?","The risk-free rate","The relationship between a stock's returns and market returns","The expected return on the market","The inflation rate","The relationship between a stock's returns and market returns","Hard"
"56","Artificial Intelligence","Which of the following algorithms is most commonly used for image recognition tasks?","Linear regression","Support Vector Machines","Convolutional Neural Networks (CNN)","K-means clustering","Convolutional Neural Networks (CNN)","Hard"
"57","Quantum Computing","What is quantum entanglement?","A quantum state where particles share information regardless of distance","The phenomenon where two particles occupy the same state","The quantum process of data encoding","The ability of particles to exist in two states simultaneously","A quantum state where particles share information regardless of distance","Hard"
"58","Blockchain","What is the main advantage of using blockchain in supply chain management?","Centralized data management","Real-time tracking and transparency","Faster transaction times","Reduced regulatory oversight","Real-time tracking and transparency","Medium"
"59","Machine Learning","What is overfitting in machine learning?","When a model is too simple and fails to capture the data trends","When a model performs well on training data but poorly on test data","When a model achieves perfect accuracy on both training and test data","When a model underperforms due to lack of training data","When a model performs well on training data but poorly on test data","Medium"
"60","Cybersecurity","Which of these is a common technique for preventing SQL injection attacks?","Input sanitization","Password hashing","Data encryption","SSL/TLS","Input sanitization","Hard"
"61","Ethical Hacking","What is a penetration test?","A test to identify vulnerabilities in a system","A test to recover lost data","A test to verify security patches","A test to measure encryption strength","A test to identify vulnerabilities in a system","Hard"
"62","Blockchain","Which of the following best describes a 'smart contract'?","A contract that is executed manually","A digital contract that self-executes based on predefined conditions","A contract that is stored on paper and scanned into the blockchain","A contract that exists only on paper","A digital contract that self-executes based on predefined conditions","Medium"
"63","Machine Learning","Which of the following is a type of unsupervised learning?","Logistic regression","K-means clustering","Decision trees","Neural networks","K-means clustering","Medium"
"64","Quantum Computing","What is the principle of superposition in quantum mechanics?","A particle can exist in multiple states at once","A particle can only exist in one state at any given time","A particle's state is determined by its velocity","A particle's position can be precisely measured","A particle can exist in multiple states at once","Hard"
"65","Cybersecurity","Which of the following best describes a DDoS (Distributed Denial of Service) attack?","An attack that encrypts data and demands a ransom","An attack that floods a server with traffic to disrupt services","An attack that targets individual computers with malware","An attack that infiltrates and deletes databases","An attack that floods a server with traffic to disrupt services","Medium"
"66","Financial Analysis","What is the purpose of conducting a discounted cash flow (DCF) analysis?","To forecast future earnings","To calculate the intrinsic value of a company","To analyze stock price volatility","To assess liquidity ratios","To calculate the intrinsic value of a company","Hard"
"67","Artificial Intelligence","What is the difference between AI and Machine Learning?","Machine Learning is a subset of AI","AI is a subset of Machine Learning","AI and Machine Learning are two separate fields with no overlap","Machine Learning is used exclusively for autonomous systems","Machine Learning is a subset of AI","Medium"
